店舗ID,店舗名,店舗名カナ,緯度,軽度,店舗URL,ドリンクURL,住所,電話番号,平均予算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getz305,地鶏専門店×贅沢個室 鳥桜 八王子駅前店,ジドリセンモンテンゼイタクコシツトリザクラ ハチオウジエキマエテン,35.658226,139.338186,https://r.gnavi.co.jp/m6nvb4y50000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/getz305/menu3,〒192-0082 東京都八王子市東町12-14 4F,050-3469-3724,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み放題メニュー,飲み放題メニュー,黒枝豆,きゅうりの特製,だし巻き玉子,有機トマトの丸ごとスライス,たこわさび,ピリ辛冷奴,漬物盛り合わせ,マグロとアボカド美味しいサラダ,アボカドと生ハムイタリアンサラダ,カリカリじゃこ大根サラダ,鶏と水菜のサラダ,黒豚しゃぶしゃぶ胡麻和えサラダ,特選お刺身2種盛合せ,特選お刺身3種盛合せ,炙りしめサバ,サーモン刺身,タコ刺身,熊本！馬刺し,馬刺し2種盛合せ,馬刺し3種盛合せ,カツオタタキ,黒豚タンの炭火焼き,黒豚,黒豚のトロトロ角煮,牛ロースのひびき柚子ソテー,地鶏のチキン南蛮,照り焼きチキン,ほくほくハッシュポテトの明太チーズ焼き,地鶏の砂肝ピリ辛炒め,豚肉のキムチ炒め,地鶏の唐揚げ,手羽先にんにく揚げ,明石の揚げたこ焼き,鶏軟骨唐揚げ,自家製さつま揚げ,鶏軟骨唐揚げ,ぼんじり唐揚げ,地鶏の唐揚げ,イカゲソ唐揚げ,カリカリポテトフライ,レンコンチップス,串焼き正肉（もも肉）/なんこつ/ぼんじり/鶏かわ　各種（1本）,串焼。きねぎま/砂肝/豚バラ串/各種（1本）,エリンギ/しいたけ串各種（1本）,白ネギ肉まき,トマトの肉巻き,串焼。白ネギ/にんにく各種（1本）,地鶏の焼き鳥　7本盛合せ,地鶏の焼き鳥　12本盛合せ,焼き鳥つくね5本盛合せ,焼き鳥つくね(2本),エイヒレの炙り焼き,もちお餅の焼き,厚切りベーコンの黒こしょう焼き/するめいかの一夜干し,鉄板ナポリタンスパゲッティ/きのこたっぷり醤油スパゲティ,豚肉ミルフィーユ鍋,豚バラ肉と豆腐チゲ鍋,和牛すき焼き鍋,野菜の盛り合わせ,豚バラ,鶏肉,牛ホルモンミックス,キムチ,ラーメン・うどん。おじや,抹茶アイス/バニラアイス,ワッフル,チョコレートわらび餅,,,,,,,,,,,,,,,,,
能登牛の朴葉焼き,ふぐの眞子の粕漬け,丸干しいか,なまこ酢,ほたるいかの黒造り,加賀生麩の田楽,なすび素麩（温）,こんか鰯のお茶漬け,能登醤油の焼きおにぎり（とろろ昆布お吸い物付き）,ぬかづけ盛合せ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,900,650,600,600,950,850,850,850,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge6a111,個室居酒屋 淡路島へ渡れ 八王子店,コシツイザカヤアワジシマヘワタレハチオウジテン,35.656667,139.338119,https://r.gnavi.co.jp/73ca5s8y0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ge6a111/menu3,〒192-0083 東京都八王子市旭町6-13 3F,050-3469-6505,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自家製チャンジャ,淡路島の梅水晶,ピリ辛淡路タタキ胡瓜,淡路島産胡瓜の一本漬け,淡路島産ナスの一本漬け,塩昆布キャベツ,自家製冷奴,淡路鶏の鶏皮ポン酢,本日のカプレーゼ,本日の生春巻き,自家製豆腐と淡路野菜のサラダ,アボカドと生ハムのイタリアンサラダ,マグロのお造り,サーモンのお造り,タコのお造り,イカのお造り,甘エビのお造り,きびなごのお造り,串焼き5本盛り合わせ,淡路じゃが芋のポテトフライ,淡路島産大海老フライ,淡路島産イカフライ,淡路猪豚バラの炭火焼き,エイヒレの炙り焼き,大しまホッケの開け焼き,子持ちししゃも,イカの丸ごと炭火焼き,ふわとろ出し巻き玉子,チーズフォンデュ,淡路島産エビの自家製マヨネーズ和え,淡路島の海鮮チヂミ,淡路じゃが芋の明太焼き,本マグロのさっぱりおろし和え,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,500,380,380,380,480,380,380,380,580,680,680,500,500,500,500,500,500,780,480,580,580,580,480,680,580,580,380,680,580,580,580,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggte500,モータウン バグダッドカフェ 八王子,モータウンバグダッドカフェハチオウジ,35.658538,139.343298,https://r.gnavi.co.jp/r306xn2a0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggte500/drink,〒192-0046 東京都八王子市明神町4-6-12 ザ・ビー 八王子2F,050-3476-1143,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏肉とアスパラのアヒージョ,4種から選べるチーズフォンデュ,アボカド＆タコスチップメキシカンハニーサラダ,厚切りBigベーコンステーキ,薄切りローストビーフ,海老マカロニグラタン,あさり＆じゃこの青紫蘇ガーリックスパゲティー,ごろごろチーズのチキントマトスパゲティー,イタリアントマトバジルピザ,お餅モチモチ和風明太ピザ,ウエスタンチーズバーガー,特製ビーフタコライス,漬けマグロの和風ちらし御飯,フライドチキン,メキシカンビーフタコス,トマトとアボカドとチーズのタコス,クリームチーズのDIP,フォンダンショコラ,【要予約】当店特製バースデーケーキ,カシスヨーグルトスリング,バナナヨーグルトスリング,マニフィーク・ルージュ,シャンテンペインテ,サントリープレミアムモルツ生（中）,スミノフ,アーリータイムズ,バカルディーホワイト,チョコレートDecoオーレ,キャラメルDecoオーレ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,1550,1450,750,1250,750,750,890,890,850,850,800,690,890,650,700,700,490,650,2000,2500,790,790,2700,3500,550,620,500,600,790,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
